label,text
ham,Hey how are you doing today
ham,Let's meet tomorrow at 5
ham,Can you call me later
ham,Don't forget to bring the documents
ham,I'll see you at the office
ham,Are we still on for tonight
ham,Thanks for your help
ham,I'll send the file soon
ham,Please review the document
ham,Let's grab lunch later
spam,Win money now click this link
spam,You have won a free prize claim now
spam,URGENT! Your account is compromised verify now
spam,Free entry in a contest win big prizes
spam,Congratulations you have been selected
spam,Claim your reward immediately click here
spam,You won 1000 dollars click now
spam,Exclusive deal just for you act fast
spam,Limited offer buy now
spam,Your account needs verification immediately

ham,Meeting rescheduled to tomorrow
ham,Can you send me the report
ham,Let's finish this task today
ham,Call me when you arrive
ham,I'll text you later
ham,Did you finish the assignment
ham,Please confirm your attendance
ham,We should discuss the plan
ham,See you at the meeting
ham,Don't be late

spam,Act now to claim your free gift
spam,Winner! You have been chosen
spam,Click here to receive your prize
spam,Free bonus waiting for you
spam,Your payment failed update now
spam,Important notice verify your account
spam,Limited time offer hurry up
spam,You are selected for a reward
spam,Get rich quick scheme join now
spam,Click now to unlock your reward

ham,I'll pick you up later
ham,Where are you right now
ham,Let's watch a movie tonight
ham,Please send me the address
ham,I'll be there in 10 minutes
ham,Can we talk later
ham,Don't worry about it
ham,I'll handle everything
ham,Just finished my work
ham,Heading home now

spam,You have won lottery prize
spam,Claim your free iphone now
spam,Click to verify your bank account
spam,Security alert immediate action required
spam,Free voucher waiting click here
spam,Special promotion just for you
spam,Your account is at risk act now
spam,You have been pre approved for loan
spam,Win big prizes today join now
spam,Click here for instant cash

ham,Are you coming today
ham,Let's meet at the cafe
ham,I'll call you soon
ham,Send me the details please
ham,I'll check and let you know
ham,Can we reschedule
ham,I'm busy right now
ham,Talk to you later
ham,Thanks see you soon
ham,Everything is fine

spam,Claim your bonus now
spam,Click here to win big
spam,Immediate action required verify account
spam,Your account has been suspended
spam,Get your reward now
spam,You have been selected click now
spam,Free membership join today
spam,Earn money fast click here
spam,Don't miss this opportunity
spam,Exclusive offer just for you

ham,See you tomorrow morning
ham,Let's finish the project
ham,Send me the update
ham,I'll be online later
ham,Call me when free
ham,Did you receive my email
ham,Let's talk later
ham,I'm on my way
ham,See you soon
ham,Everything is ready

spam,Win cash instantly click now
spam,Your account needs urgent attention
spam,Free trial available click here
spam,Get rich fast scheme
spam,Click to claim your reward
spam,You are the lucky winner
spam,Important update required now
spam,Claim your free subscription
spam,Earn money online easily
spam,Limited time deal act now

ham,Let's meet after work
ham,Call me later please
ham,I'll send you the info
ham,Don't forget the meeting
ham,Talk to you soon
ham,Are you free tonight
ham,Let's go out tomorrow
ham,I'll be late today
ham,See you later
ham,Everything is okay

spam,Click now for free reward
spam,Your account is blocked verify now
spam,Win big prizes instantly
spam,Special offer just for you
spam,Claim your free gift now
spam,Immediate response required
spam,Exclusive deal available now
spam,You won a special prize
spam,Click here to claim now
spam,Act now don't miss out
